sent_id	left_context	pivot	right_context
dev_72	Un operaio di Terni scrive a Civati. “Dai, fatti 	forza	“. [@user] 
dev_108	Movimento 5 Stelle, Grillo fa 	autocritica	. "Avete sbagliato" [@user] 
dev_122	PURE SCUOLA ZOO FA 	POLITICA	!!! :-) Oi oi Basta che cos è un comizio!!! Ke scandalo, parliamo della buona scuola, ... http://t.co/djEtyTIyX3 
dev_127	Letta: sicuramente non farò 	parte	 del governo Monti. e siamo un passo avanti. #finecorsa 
train_74	Fa 	notizia	 Mario Monti, sorpreso alla guida senza cintura e al cellulare. Così ci sembra meno grave l'accusa per camorra all' on. Cosentino 
train_78	@user dovrebbe fare 	pace	 col cervello 
train_196	Cicciolina: “Quando facevo 	politica	 ero come Grillo“. Circondata da cazzoni. [rubagalline] 
train_214	Faccio 	fatica	 a dirlo , ma ... una spruzzata di Thatcher, please. #Thatcher4italy #liberalizzazioni #taxi #farmacie #benzinai #governo #Monti 
train_310	RT @user: Ehi Martedì, lo so che non sei Lunedì, ma fai 	schifo	 lo stesso. 
train_368	Bossi: « Il governo Monti fa 	schifo	 ». Un giudizio tecnico. 
train_405	Renzi: "Speculare su un morto fa 	schifo	". Finalmente una presa di posizione sul Giubileo. [acid rain] 
train_587	quand' è che Mario #Monti in treno non farà più 	notizia	? #mobbastaveramenteperò http://t.co/GtMmOT57 via @user 
train_596	Ma vietare i botti a #Capodanno fa 	parte	 della #fase2 del Governo #Monti? Non ditemi che e' per evitare di pagare gli straordinari ai PS? :) 
train_613	#Ballarò Maroni rimprovera il governo monti di fare cassa, mi chiedo dove stesse quando con quattro manovre hanno fatto 	cassa	 e scasso 
train_613	#Ballarò Maroni rimprovera il governo monti di fare 	cassa	, mi chiedo dove stesse quando con quattro manovre hanno fatto cassa e scasso 
train_628	Fa 	schifo	 il posto fisso. Meglio 5 anni di parlamento ed avere la pensione d'oro a vita. Vero signor Mario? #monti 
train_664	Il M5S Pizzarotti: “Ora Grillo faccia 	autocritica	“. Hai anche un ultimo desiderio? [@user] 
train_675	come facciamo buona 	scuola	 con l'ingrosso dei precari &lt;http://t.co/xmAu9Io8UV&gt; 
train_681	@user1 @user2 #labuonascuola ne fanno 	parte	 anche i 600 milioni di tagli ? 
train_691	Ma tutti voi che twittate pubblicizzando #labuonascuola ci fate o ci siete? O vi paga Renzi per fargli 	propaganda	? 
train_730	Capito che il ns premier andava male in inglese non capisce la matematica e parla un italiano dialettale come farà 	riforma	 scuola? #lagabbia 
train_766	Bossi: « Il governo Monti fa 	schifo	, sono improvvisati ». Il trota invece, e Calderoli, mirabili statisti. 
train_772	(Siete divertenti) Fino a ieri #Grillo e il #M5S non l'avete c..o, ora fa 	paura	, e tutti addosso. 
train_821	Educatrice fa 	sesso	 con un sedicenne per incentivarlo a studiare. Si laurea domani. [@user] 
train_901	Niente più Precari in scuola Italika! Entreranno direttemente a fare 	parte	 del mondo dei disokkupati #labuonascuola 
train_950	Ho fatto 1 	sogno	 oggi : pensavo : " che bella la nuova scuola riformata " , poi mi sono svegliato e ho letto Tagli lineari Altro che #labuonascuola 
train_955	@user #labuonascuola io faccio 	campagna	 perché nessun docente della mia scuola compili il questionario. É comunque una battaglia facile 
train_976	Schettino fa 	campagna	 elettorale per il Pd. Gli hanno dato i servizi sociali. [@user] 
train_1010	@user: Gianni Letta: Sicuramente non farò 	parte	 del governo Monti (ag Dire) e meno male! 
train_1055	Attivisti del Movimento 5 Stelle fanno 	irruzione	 nella sede del Secolo XIX. Non capivano l'emoticon. [@user] 
train_1073	@user1 ahahaah non ci avevo fatto 	caso	!!! #labuonascuola per @user2 @user3 serve #Sgarbi capra capra capra!! :)) 
test_22	Greci vicini al tracollo finanziario. Come tutti quelli che hanno fatto 	filosofia	. [@user] 
