sent_id	left_context	pivot	right_context
it_partut-ud-33	Quanto sopra si applica all' opera anche quando questa faccia 	parte	 di una collezione di opere, anche se ciò non comporta che la collezione di opere di per sé ed indipendentemente dall' opera stessa debba essere soggetta ai termini ed alle condizioni della presente licenza. 
it_partut-ud-39	Quanto sopra si applica all' opera anche quando questa faccia 	parte	 di una collezione di opere, anche se ciò non comporta che la collezione di opere di per sé ed indipendentemente dall' opera stessa debba essere soggetta ai termini ed alle condizioni della presente licenza. 
it_partut-ud-41	nella misura in cui sia ragionevolmente possibile,l'Uniform Resource Identifier,che il Licenziante specifichi dover essere associato con l'opera,salvo che tale URI non faccia 	riferimento	 alla informazione di protezione di diritto d'autore o non dia informazioni sulla licenza dell' opera; 
it_partut-ud-235	In tal senso, desidero anche fare brevemente 	riferimento	 ai problemi dei tunnel, menzionati dagli onorevoli Rack e Swoboda. 
it_partut-ud-260	Gli emendamenti presentati e approvati all' unanimità in sede di commissione fanno 	riferimento	 in due casi alla suddetta procedura di comitatologia recentemente modificata. 
it_partut-ud-630	(32) La presente direttiva è conforme ad alcuni principi sull' applicazione della nuova strategia illustrata nella risoluzione del consiglio, del 7 maggio 1985, relativa ad una nuova strategia in materia di armonizzazione tecnica e normalizzazione [5], e al criterio di far 	riferimento	 alle norme europee armonizzate. 
it_partut-ud-712	Alcune di esse sono state tuttavia organizzate nei paesi terzi o nei paesi candidati all' adesione per far 	fronte	 ad esigenze specifiche legate alla protezione dell' euro, come nel caso delle attività intraprese in Colombia, per tutti i paesi dell' America del sud, e in Bulgaria, anche per gli altri paesi dell' Europa sud-orientale. 
it_partut-ud-716	Il coordinamento delle azioni del programma e di altre attività di formazione è affidato al gruppo di esperti contro la falsificazione dell' euro, di cui fanno 	parte	 esperti di tutti gli stati membri e dei paesi candidati e a cui partecipano rappresentanti di Europol, della BCE e di Interpol, conformemente al settimo considerando della decisione Pericle. 
it_partut-ud-783	Nessuno può essere costretto a far 	parte	 di un'associazione. 
it_partut-ud-1138	L'identità delle persone si compone di elementi singoli e di elementi facenti 	parte	 di unità più ampie, e l'impatto delle persone sulla realtà dipende da quali elementi prevalgano sul comportamento. 
it_partut-ud-1192	Dal canto loro, gli Stati Uniti hanno fatto 	affidamento	 sui prodotti cinesi a basso costo per aumentare il potere d'acquisto dei consumatori ormai provati. 
it_partut-ud-1317	Iniziative volte a migliorare le conoscenze nutrizionali del pubblico sono anch'esse cruciali - non da ultimo perché possono motivare i cittadini a far 	pressione	 sui loro governi affinché passino all' azione. 
it_partut-ud-1335	Secondo alcuni dati diffusi dall' OCSE, solo il 55% delle sudcoreane di età compresa tra i 15 e i 64 anni fa 	parte	 della forza lavoro, contro una media del 65% nelle economie avanzate. 
it_partut-ud-1395	Il FMI raramente fa 	notizia	 in prima pagina negli Stati Uniti o negli altri grandi paesi, tranne quando vi è coinvolta una dimensione personale scabrosa. 
it_partut-ud-1546	Quando finì gli studi, Balzac fece 	apprendistato	 in un ufficio legale, ma lasciò i suoi studi di legge dopo essersi stancato della sua inumanità e banale routine. 
it_partut-ud-1761	la scena di un giovane che arriva al paese per fare 	fortuna	 è onnipresente nel romanzo realista, e compare ripetutamente nelle opere di Balzac, come in "Illusions perdues". 
it_partut-ud-1840	Gli studiosi fanno 	riferimento	 all' arco di tempo tra gli anni 1585 e 1592 come agli "anni perduti" di Shakespeare. 
it_partut-ud-1892	Thomas fu obbligato dal tribunale ecclesiastico a fare pubblica 	penitenza	, fatto che avrebbe causato ulteriore disonore e imbarazzo alla famiglia Shakespeare. 
it_partut-ud-1951	Della compagnia di Shakespeare facevano 	parte	 attori del calibro di Richard Burbage, William Kempe, Henry Condell e John Herninges. 
it_partut-ud-1957	Nel 1623 John Heminges e Henry Condell, due degli amici di Shakespeare che facevano 	parte	 dei King's Men, pubblicarono il First Folio, un'edizione completa delle opere di Shakespeare. 
it_partut-ud-1979	Anche prima della pubblicazione non autorizzata dei due sonetti ne Il pellegrino appassionato nel 1599, Francis Meres aveva fatto 	riferimento	 nel 1598 agli "zuccherosi sonetti tra i suoi amici privati". 
it_partut-ud-2058	Il drammaturgo e critico George Bernard Shaw si fece 	beffa	 del culto dell' adorazione di Shakespeare, definendolo "bardolatria". 
it_partut-ud-1011	Tali testi fanno 	fede	 alle stesse condizioni dei testi dei trattati di cui al primo comma redatti nelle lingue attuali. 
